piece_index,canonical_composer,canonical_title,year,split,midi_filename,total_length_sec,segment_index,start_sec,end_sec,tempo_label,tempo_category_num
0,Alban Berg,Sonata Op. 1,2018,train,2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,703.9817708333333,1,0.0,703.9817708333333,slow,0
1,Alban Berg,Sonata Op. 1,2008,train,2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,764.7174479166666,1,0.0,764.7174479166666,slow,0
2,Alban Berg,Sonata Op. 1,2017,train,2017/MIDI-Unprocessed_066_PIANO066_MID--AUDIO-split_07-07-17_Piano-e_3-02_wav--3.midi,465.85833333333335,1,0.0,465.85833333333335,medium,1
3,Alexander Scriabin,"24 Preludes Op. 11, No. 13-24",2004,train,2004/MIDI-Unprocessed_XP_21_R1_2004_01_ORIG_MID--AUDIO_21_R1_2004_01_Track01_wav.midi,872.7854166666666,1,0.0,872.7854166666666,slow,0
4,Alexander Scriabin,"3 Etudes, Op. 65",2006,validation,2006/MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,399.58203125,1,0.0,399.58203125,fast,2
5,Alexander Scriabin,"5 Preludes, Op.15",2009,validation,2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.midi,400.546875,1,0.0,120.0,slow,0
5,Alexander Scriabin,"5 Preludes, Op.15",2009,validation,2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.midi,400.546875,2,120.0,240.0,fast,2
5,Alexander Scriabin,"5 Preludes, Op.15",2009,validation,2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.midi,400.546875,3,240.0,400.546875,slow,0
6,Alexander Scriabin,"Entragete, Op.63",2009,test,2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_07_WAV.midi,163.97786458333331,1,0.0,163.97786458333331,slow,0
7,Alexander Scriabin,"Etude Op. 2 No.1;  Etudes Op. 8, Nos. 5, 11 and 12",2013,train,2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--3.midi,564.9010416666666,1,0.0,564.9010416666666,slow,0
8,Alexander Scriabin,"Etude Op. 42, Nos. 4 & 5",2009,test,2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_04_WAV.midi,141.20052083333331,1,0.0,141.20052083333331,medium,1
9,Alexander Scriabin,"Etude Op. 8, No. 13",2009,validation,2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_05_WAV.midi,168.24739583333331,1,0.0,168.24739583333331,fast,2
10,Alexander Scriabin,"Etude in D-flat Major, Op. 8 No. 10",2011,train,2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_09_Track09_wav.midi,102.53255208333331,1,0.0,102.53255208333331,fast,2
11,Alexander Scriabin,Etudes from Op.8,2006,train,2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.midi,552.5091145833333,1,0.0,552.5091145833333,slow,0
